workerid,proliferate.condition,acceptability_rating,bg_response,block_id,condition,context,item_id,original_bg_choice,rt,task,trial_num,verb,wrong_attempts,error
13,condition1,NA,embed,6,filler_good,<u>Hanako said: Selena didn't speculate that Justin would buy the house.</u>,105,"What Justin would buy, according to Selena.",5990,backgroundedness,25,spectulate,,
13,condition1,0.81,NA,6,mos,Hanako said: Laura didn't mutter that Brandon broke his laptop.,4,NA,7093,acceptability,26,mutter,,
13,condition1,0.01,NA,6,filler_bad,Hanako said: Ben didn't expect that Judith and Eleanor would solve the puzzle.,116,NA,8338,acceptability,27,expect,,
13,condition1,NA,embed,6,say,<u>Hanako said: Tom didn't say that Sarah admired her friend. </u>,311,"Who Sarah admired, according to Tom.",7569,backgroundedness,28,say,,
13,condition1,1,NA,7,filler_good,Hanako said: Ollie didn't think that Doug would invite the mayor.,101,NA,9384,acceptability,29,think,,
13,condition1,NA,embed,7,mos,<u>Hanako said: Ashley didn't groan that Hasan talked to the detectives.</u>,8,"Who Hasan talked to, according to Ashley.",87361,backgroundedness,30,groan,,
13,condition1,1,NA,7,say,Hanako said: Ben didn't say that Laura ordered pizza.,307,NA,3991,acceptability,31,say,,
13,condition1,NA,embed,7,filler_bad,<u>Hanako said: Amelia didn't suggest that Frank and Lisa were in the office.</u>,117,Who else was in the office other than Frank.,11847,backgroundedness,32,suggest,,
13,condition1,0,NA,8,filler_bad,Hanako said: Tim didn't suspect that Liz and Jason drank the beer. ,114,NA,6578,acceptability,33,suspect,,
13,condition1,1,NA,8,say,Hanako said: Danny didn't say that Jennifer got a cat.,308,NA,12219,acceptability,34,say,,
13,condition1,NA,embed,8,mos,<u>Hanako said: Yash didn't whine that Ming forgot her phone. </u>,9,"What Ming forgot, according to Yash.",26363,backgroundedness,35,whine,,
13,condition1,NA,embed,8,filler_good,<u>Hanako said: Juliet didn't confirm that Sebastian would come to the party.</u>,112,Who confirmed that Sebastian would come to the party.,6979,backgroundedness,36,confirm,,
13,condition1,NA,verb,9,filler_good,<u>Hanako said: Ryan didn't expect that Leon heard the news.</u>,111,"Who heard the news, according to Leon.",6251,backgroundedness,37,expect,,
13,condition1,0,NA,9,filler_bad,Hanako said: Michael didn't speculate that Robert and Eric would leave the team.,118,NA,9008,acceptability,38,spectulate,,
13,condition1,1,NA,9,say,Hanako said: Kate didn't say that Zack broke the plates.,306,NA,6085,acceptability,39,say,,
13,condition1,NA,embed,9,mos,<u>Hanako said: Jake didn't yell that Yumi found the wallet.</u>,7,"What Yumi found, according to Jake.",6720,backgroundedness,40,yell,,
13,condition1,NA,embed,10,say,<u>Hanako said: Noah didn't say that Sharon wanted a dog.</u>,312,"What Sharon wanted, according to Noah.",13906,backgroundedness,41,say,,
13,condition1,0.78,NA,10,filler_good,Hanako said: Sebrina didn't suspect that James would cancel the trip.,110,NA,8787,acceptability,42,suspect,,
13,condition1,0.31,NA,10,filler_bad,Hanako said: Frankie didn't hope that the agent of the guitarist would show up. ,120,NA,10723,acceptability,43,hope,,
13,condition1,NA,embed,10,mos,<u>Hanako said: Howard didn't mumble that Alex bought a birthday cake.</u>,3,"What Alex bought, according to Howard.",13459,backgroundedness,44,mumble,,
13,condition1,NA,embed,11,say,<u>Hanako said: Jessie didn't say that Michelle borrowed the computer.</u>,310,"What Michelle borrowed, according to Jessie.",4312,backgroundedness,45,say,,
13,condition1,NA,embed,11,filler_good,<u>Hanako said: Ronald didn't imply that Jacy rented the truck.</u>,106,Who implied that Jacy rented the truck.,8407,backgroundedness,46,imply,,
13,condition1,0.67,NA,11,filler_bad,Hanako said: Ted didn't insist that Eva's uncle should stay for dinner.,124,NA,20225,acceptability,47,insist,,
13,condition1,1,NA,11,mos,Hanako said: Fatima didn't murmur that Omar had dinner with his manager.,10,NA,5374,acceptability,48,murmur,,
16,condition1,1,NA,practice,practice_acceptability_good_1,Hanako said: Fiona didn't buy pineapples.,201,,,acceptability,0,NA,0,
16,condition1,NA,correct,practice,practice_bg_good_2,<u>Hanako said: Vera didn't drive to Michigan.</u>,202,How Vera travelled to Michigan.,,backgroundedness,0,NA,,
16,condition1,0.05,NA,practice,practice_accpetability_bad_2,Hanako said: Prisha doesn't speak Korean.,204,,,acceptability,0,NA,0,
16,condition1,NA,correct,practice,practice_bg_bad_1,<u>Hanako said: Hank didn't buy the red car.</u>,203,Which car Hank bought.,,backgroundedness,0,NA,,
16,condition1,1,NA,0,filler_good,Hanako said: Jess didn't reveal that Todd went out with Betty.,109,NA,10198,acceptability,1,reveal,,
16,condition1,0.16,NA,0,filler_bad,Hanako said: Rui didn't imply that Carol's brother signed the contract.,119,NA,14003,acceptability,2,imply,,
16,condition1,NA,embed,0,say,<u>Hanako said: Tom didn't say that Sarah admired her friend. </u>,311,"Who Sarah admired, according to Tom.",16327,backgroundedness,3,say,,
16,condition1,NA,embed,0,mos,<u>Hanako said: Jake didn't yell that Yumi found the wallet.</u>,7,"What Yumi found, according to Jake.",9472,backgroundedness,4,yell,,
16,condition1,NA,embed,1,mos,<u>Hanako said: Emma didn't stammer that Kevin lost the keys.</u>,2,"What Kevin lost, according to Emma.",11231,backgroundedness,5,stammer,,
16,condition1,NA,embed,1,say,<u>Hanako said: Kate didn't say that Zack broke the plates.</u>,306,"What Zack broke, according to Kate.",8276,backgroundedness,6,say,,
16,condition1,0.18,NA,1,filler_bad,Hanako said: Michael didn't speculate that Robert and Eric would leave the team.,118,NA,13844,acceptability,7,spectulate,,
16,condition1,1,NA,1,filler_good,Hanako said: Ryan didn't expect that Leon heard the news.,111,NA,10163,acceptability,8,expect,,
16,condition1,NA,embed,2,mos,<u>Hanako said: Laura didn't mutter that Brandon broke his laptop.</u>,4,"What Brandon broke, according to Laura.",9896,backgroundedness,9,mutter,,
16,condition1,1,NA,2,filler_good,Hanako said: Grace didn't suggest that Karen wrote a book.,102,NA,8035,acceptability,10,suggest,,
16,condition1,0.09,NA,2,filler_bad,Hanako said: Ben didn't expect that Judith and Eleanor would solve the puzzle.,116,NA,12820,acceptability,11,expect,,
16,condition1,NA,embed,2,say,<u>Hanako said: Nancy didn't say that Julian ate the cupcake.</u>,309,"What Julian ate, according to Nancy.",8192,backgroundedness,12,say,,
16,condition1,1,NA,3,say,Hanako said: Emily didn't say that Paul drafted the letter.,302,NA,9622,acceptability,13,say,,
16,condition1,NA,embed,3,filler_good,<u>Hanako said: Roger didn't expect that Andy would take the jacket.</u>,104,"What Andy would take, according to Roger.",10954,backgroundedness,14,expect,,
16,condition1,NA,embed,3,filler_bad,<u>Hanako said: Jamal didn't expect that the book about astronomy was on the shelf.</u>,123,Which book Jamal expected to be on the shelf.,21668,backgroundedness,15,expect,,
16,condition1,1,NA,3,mos,Hanako said: Fatima didn't murmur that Omar had dinner with his manager.,10,NA,11776,acceptability,16,murmur,,
16,condition1,1,NA,4,mos,Hanako said: Amy didn't scream that Charlie saw the robber.,6,NA,12218,acceptability,17,scream,,
16,condition1,0.06,NA,4,filler_bad,Hanakko said: Larry didn't believe that Karl and Nick cooked dinner.,115,NA,9134,acceptability,18,believe,,
16,condition1,NA,embed,4,say,<u>Hanako said: Jessie didn't say that Michelle borrowed the computer.</u>,310,"What Michelle borrowed, according to Jessie.",8412,backgroundedness,19,say,,
16,condition1,NA,embed,4,filler_good,<u>Hanako said: Jean didn't believe that Grant adopted a kitten.</u>,103,"What Grant adopted, according to Jean.",9373,backgroundedness,20,believe,,
16,condition1,1,NA,5,filler_good,Hanako said: Selena didn't speculate that Justin would buy the house.,105,NA,8844,acceptability,21,spectulate,,
16,condition1,NA,embed,5,say,<u>Hanako said: Tim didn't say that Jason drank the beer. </u>,304,"What Jason drank, according to Tim.",12451,backgroundedness,22,say,,
16,condition1,NA,embed,5,filler_bad,<u>Hanako said: Jessie didn't guess that the assistant to the director would give the presentation.</u>,121,"Whose assistant would give the presentation, as Jessie guessed.",42659,backgroundedness,23,guess,,
16,condition1,1,NA,5,mos,Hanako said: Yash didn't whine that Ming forgot her phone. ,9,NA,10269,acceptability,24,whine,,
16,condition1,NA,embed,6,filler_bad,<u>Hanako said: Frankie didn't hope that the agent of the guitarist would show up. </u>,120,"Whose agent would show up, as Frankie hoped.",17036,backgroundedness,25,hope,,
16,condition1,NA,embed,6,mos,<u>Hanako said: Bill didn't shout that Dan knew the professor.</u>,5,"Who Dan knew, according to Bill.",7482,backgroundedness,26,shout,,
16,condition1,1,NA,6,say,Hanako said: Danny didn't say that Jennifer got a cat.,308,NA,12960,acceptability,27,say,,
16,condition1,1,NA,6,filler_good,Hanako said: Juliet didn't confirm that Sebastian would come to the party.,112,NA,10410,acceptability,28,confirm,,
16,condition1,NA,embed,7,mos,<u>Hanako said: Howard didn't mumble that Alex bought a birthday cake.</u>,3,"What Alex bought, according to Howard.",8846,backgroundedness,29,mumble,,
16,condition1,NA,embed,7,filler_good,<u>Hanako said: Sebrina didn't suspect that James would cancel the trip.</u>,110,Who suspected that James would cancel the trip.,15078,backgroundedness,30,suspect,,
16,condition1,1,NA,7,say,Hanako said: Sally didn't say that Tony would visit George.,303,NA,7705,acceptability,31,say,,
16,condition1,0.17,NA,7,filler_bad,Hanako said: Donald didn't reveal that the parents of Krishna were moving to Texas. ,122,NA,16839,acceptability,32,reveal,,
16,condition1,0.16,NA,8,filler_bad,Hanako said: Tim didn't suspect that Liz and Jason drank the beer. ,114,NA,12255,acceptability,33,suspect,,
16,condition1,NA,embed,8,mos,<u>Hanako said: John didn't whisper that Mary met with the lawyer.</u>,1,"Who Mary met with, according to John.",10745,backgroundedness,34,whisper,,
16,condition1,1,NA,8,say,Hanako said: Charlie didn't say that Maddie would call her roommate.,305,NA,7443,acceptability,35,say,,
16,condition1,NA,embed,8,filler_good,<u>Hanako said: Julie didn't guess that Charlie received a message.</u>,108,Who guessed that Charlie received a message.,10788,backgroundedness,36,guess,,
16,condition1,1,NA,9,mos,Hanako said: Igor didn't shriek that Penny won the lottery.,11,NA,13180,acceptability,37,shriek,,
16,condition1,1,NA,9,filler_good,Hanako said: Matthew didn't hope that Dana brought a gift.,107,NA,11808,acceptability,38,hope,,
16,condition1,NA,embed,9,filler_bad,<u>Hanako said: Amelia didn't suggest that Frank and Lisa were in the office.</u>,117,Who else was in the office other than Frank.,19600,backgroundedness,39,suggest,,
16,condition1,NA,embed,9,say,<u>Hanako said: Noah didn't say that Sharon wanted a dog.</u>,312,"What Sharon wanted, according to Noah.",9004,backgroundedness,40,say,,
16,condition1,NA,embed,10,say,<u>Hanako said: Ben didn't say that Laura ordered pizza.</u>,307,"What Laura ordered, according to Ben.",7732,backgroundedness,41,say,,
16,condition1,0.14,NA,10,mos,Hanako said: Ashley didn't groan that Hasan talked to the detectives.,8,NA,13977,acceptability,42,groan,,
16,condition1,NA,embed,10,filler_good,<u>Hanako said: Ronald didn't imply that Jacy rented the truck.</u>,106,Who implied that Jacy rented the truck.,7623,backgroundedness,43,imply,,
16,condition1,0.11,NA,10,filler_bad,Hanako said: Helen didn't think that Rob and Marc cut the bread. ,113,NA,9241,acceptability,44,think,,
16,condition1,0.13,NA,11,mos,Hanako said: Chandler didn't moan that Tia brought her parents.,12,NA,12486,acceptability,45,moan,,
16,condition1,NA,embed,11,filler_bad,<u>Hanako said: Ted didn't insist that Eva's uncle should stay for dinner.</u>,124,"Whose uncle should stay for dinner, as Tedd insisted.",12556,backgroundedness,46,insist,,
16,condition1,NA,embed,11,filler_good,<u>Hanako said: Ollie didn't think that Doug would invite the mayor.</u>,101,"Who Doug would invite, according to Ollie.",8024,backgroundedness,47,think,,
16,condition1,1,NA,11,say,Hanako said: Hannah didn't say that George emailed the students.,301,NA,7778,acceptability,48,say,,
9,condition1,1,NA,practice,practice_acceptability_good_1,Hanako said: Fiona didn't buy pineapples.,201,,,acceptability,0,NA,0,
9,condition1,NA,incorrect,practice,practice_bg_good_2,<u>Hanako said: Vera didn't drive to Michigan.</u>,202,Where Vera drove to.,,backgroundedness,0,NA,,
9,condition1,0,NA,practice,practice_accpetability_bad_2,Hanako said: Prisha doesn't speak Korean.,204,,,acceptability,0,NA,0,
9,condition1,NA,correct,practice,practice_bg_bad_1,<u>Hanako said: Hank didn't buy the red car.</u>,203,Which car Hank bought.,,backgroundedness,0,NA,,
9,condition1,NA,embed,0,filler_bad,<u>Hanako said: Ben didn't expect that Judith and Eleanor would solve the puzzle.</u>,116,Who else would solve the puzzle other than Judith.,49149,backgroundedness,1,expect,,
9,condition1,0.94,NA,0,say,Hanako said: Noah didn't say that Sharon wanted a dog.,312,NA,9582,acceptability,2,say,,
9,condition1,NA,embed,0,filler_good,<u>Hanako said: Jean didn't believe that Grant adopted a kitten.</u>,103,"What Grant adopted, according to Jean.",19251,backgroundedness,3,believe,,
9,condition1,0,NA,0,mos,Hanako said: Amy didn't scream that Charlie saw the robber.,6,NA,8966,acceptability,4,scream,,
9,condition1,0,NA,1,filler_bad,Hanako said: Ted didn't insist that Eva's uncle should stay for dinner.,124,NA,9483,acceptability,5,insist,,
9,condition1,NA,embed,1,filler_good,<u>Hanako said: Matthew didn't hope that Dana brought a gift.</u>,107,Who hoped that Dana brought a gift.,15651,backgroundedness,6,hope,,
9,condition1,NA,embed,1,say,<u>Hanako said: Ben didn't say that Laura ordered pizza.</u>,307,"What Laura ordered, according to Ben.",10516,backgroundedness,7,say,,
9,condition1,0.03,NA,1,mos,Hanako said: Emma didn't stammer that Kevin lost the keys.,2,NA,10032,acceptability,8,stammer,,
9,condition1,0.09,NA,2,filler_bad,Hanako said: Rui didn't imply that Carol's brother signed the contract.,119,NA,15934,acceptability,9,imply,,
9,condition1,NA,verb,2,mos,<u>Hanako said: Jake didn't yell that Yumi found the wallet.</u>,7,The way Jake communicated that Yumi found the wallet.,10388,backgroundedness,10,yell,,
9,condition1,0.85,NA,2,say,Hanako said: Emily didn't say that Paul drafted the letter.,302,NA,53512,acceptability,11,say,,
9,condition1,NA,verb,2,filler_good,<u>Hanako said: Juliet didn't confirm that Sebastian would come to the party.</u>,112,"Who would come to the party, according to Juliet.",9085,backgroundedness,12,confirm,,
9,condition1,NA,verb,3,filler_good,<u>Hanako said: Sebrina didn't suspect that James would cancel the trip.</u>,110,"Who would cancel the trip, according to Sebrina.",6665,backgroundedness,13,suspect,,
9,condition1,0.13,NA,3,filler_bad,Hanako said: Tim didn't suspect that Liz and Jason drank the beer. ,114,NA,13267,acceptability,14,suspect,,
9,condition1,1,NA,3,say,Hanako said: Charlie didn't say that Maddie would call her roommate.,305,NA,6466,acceptability,15,say,,
9,condition1,NA,verb,3,mos,<u>Hanako said: Yash didn't whine that Ming forgot her phone. </u>,9,The way Yash communicated that Ming forgot her phone.,13685,backgroundedness,16,whine,,
9,condition1,1,NA,4,say,Hanako said: Tim didn't say that Jason drank the beer. ,304,NA,46382,acceptability,17,say,,
9,condition1,0.98,NA,4,filler_good,Hanako said: Grace didn't suggest that Karen wrote a book.,102,NA,5684,acceptability,18,suggest,,
9,condition1,NA,verb,4,mos,<u>Hanako said: Igor didn't shriek that Penny won the lottery.</u>,11,The way Igor communicated that Penny won the lottery.,8285,backgroundedness,19,shriek,,
9,condition1,NA,verb,4,filler_bad,<u>Hanako said: Frankie didn't hope that the agent of the guitarist would show up. </u>,120,"What the agent of the guitarist did, according to Frankie.",14403,backgroundedness,20,hope,,
9,condition1,1,NA,5,say,Hanako said: Tom didn't say that Sarah admired her friend. ,311,NA,6194,acceptability,21,say,,
9,condition1,NA,verb,5,mos,<u>Hanako said: Howard didn't mumble that Alex bought a birthday cake.</u>,3,The way Howard communicated that Alex bought a birthday cake.,12284,backgroundedness,22,mumble,,
9,condition1,0,NA,5,filler_bad,Hanako said: Jamal didn't expect that the book about astronomy was on the shelf.,123,NA,7233,acceptability,23,expect,,
9,condition1,NA,embed,5,filler_good,<u>Hanako said: Ollie didn't think that Doug would invite the mayor.</u>,101,"Who Doug would invite, according to Ollie.",7183,backgroundedness,24,think,,
9,condition1,0.02,NA,6,filler_bad,Hanakko said: Larry didn't believe that Karl and Nick cooked dinner.,115,NA,8683,acceptability,25,believe,,
9,condition1,NA,verb,6,filler_good,<u>Hanako said: Selena didn't speculate that Justin would buy the house.</u>,105,"Who would buy the house, according to Selena.",6351,backgroundedness,26,spectulate,,
9,condition1,1,NA,6,say,Hanako said: Sally didn't say that Tony would visit George.,303,NA,9516,acceptability,27,say,,
9,condition1,NA,verb,6,mos,<u>Hanako said: Fatima didn't murmur that Omar had dinner with his manager.</u>,10,The way Fatima communicated that Omar had dinner with his manager.,14700,backgroundedness,28,murmur,,
9,condition1,NA,verb,7,mos,<u>Hanako said: Laura didn't mutter that Brandon broke his laptop.</u>,4,The way Laura communicated that Brandon broke his laptop.,8883,backgroundedness,29,mutter,,
9,condition1,0.01,NA,7,filler_bad,Hanako said: Amelia didn't suggest that Frank and Lisa were in the office.,117,NA,6833,acceptability,30,suggest,,
9,condition1,1,NA,7,say,Hanako said: Danny didn't say that Jennifer got a cat.,308,NA,5666,acceptability,31,say,,
9,condition1,NA,verb,7,filler_good,<u>Hanako said: Roger didn't expect that Andy would take the jacket.</u>,104,"Who would take the jacket, according to Roger.",9418,backgroundedness,32,expect,,
9,condition1,NA,verb,8,mos,<u>Hanako said: Ashley didn't groan that Hasan talked to the detectives.</u>,8,The way Ashley communicated that Hasan talked to the detectives.,41918,backgroundedness,33,groan,,
9,condition1,NA,embed,8,filler_bad,<u>Hanako said: Helen didn't think that Rob and Marc cut the bread. </u>,113,"Who else cut the bread other than Rob, according to Helen.",8600,backgroundedness,34,think,,
9,condition1,1,NA,8,say,Hanako said: Nancy didn't say that Julian ate the cupcake.,309,NA,6433,acceptability,35,say,,
9,condition1,1,NA,8,filler_good,Hanako said: Ryan didn't expect that Leon heard the news.,111,NA,6650,acceptability,36,expect,,
9,condition1,1,NA,9,filler_good,Hanako said: Jess didn't reveal that Todd went out with Betty.,109,NA,4032,acceptability,37,reveal,,
9,condition1,0.04,NA,9,mos,Hanako said: Chandler didn't moan that Tia brought her parents.,12,NA,3401,acceptability,38,moan,,
9,condition1,NA,verb,9,say,<u>Hanako said: Hannah didn't say that George emailed the students.</u>,301,The way Hannah communicated that George emailed the students.,7166,backgroundedness,39,say,,
9,condition1,NA,verb,9,filler_bad,<u>Hanako said: Donald didn't reveal that the parents of Krishna were moving to Texas. </u>,122,"Where Krishna's parents were moving to, according to Donald.",33419,backgroundedness,40,reveal,,
9,condition1,0,NA,10,filler_bad,Hanako said: Michael didn't speculate that Robert and Eric would leave the team.,118,NA,6282,acceptability,41,spectulate,,
9,condition1,NA,embed,10,filler_good,<u>Hanako said: Ronald didn't imply that Jacy rented the truck.</u>,106,Who implied that Jacy rented the truck.,11500,backgroundedness,42,imply,,
9,condition1,NA,verb,10,mos,<u>Hanako said: Bill didn't shout that Dan knew the professor.</u>,5,The way Bill communicated that Dan knew the professor.,4500,backgroundedness,43,shout,,
9,condition1,1,NA,10,say,Hanako said: Kate didn't say that Zack broke the plates.,306,NA,5583,acceptability,44,say,,
9,condition1,NA,embed,11,say,<u>Hanako said: Jessie didn't say that Michelle borrowed the computer.</u>,310,"What Michelle borrowed, according to Jessie.",21084,backgroundedness,45,say,,
9,condition1,1,NA,11,filler_good,Hanako said: Julie didn't guess that Charlie received a message.,108,NA,7333,acceptability,46,guess,,
9,condition1,0,NA,11,mos,Hanako said: John didn't whisper that Mary met with the lawyer.,1,NA,4565,acceptability,47,whisper,,
9,condition1,NA,embed,11,filler_bad,<u>Hanako said: Jessie didn't guess that the assistant to the director would give the presentation.</u>,121,"Whose assistant would give the presentation, as Jessie guessed.",22452,backgroundedness,48,guess,,
10,condition1,0.95,NA,practice,practice_acceptability_good_1,Hanako said: Fiona didn't buy pineapples.,201,,,acceptability,0,NA,0,
10,condition1,NA,correct,practice,practice_bg_good_2,<u>Hanako said: Vera didn't drive to Michigan.</u>,202,How Vera travelled to Michigan.,,backgroundedness,0,NA,,
10,condition1,0.08,NA,practice,practice_accpetability_bad_2,Hanako said: Prisha doesn't speak Korean.,204,,,acceptability,0,NA,0,
10,condition1,NA,correct,practice,practice_bg_bad_1,<u>Hanako said: Hank didn't buy the red car.</u>,203,Which car Hank bought.,,backgroundedness,0,NA,,
10,condition1,0.05,NA,0,filler_bad,Hanako said: Jessie didn't guess that the assistant to the director would give the presentation.,121,NA,14289,acceptability,1,guess,,
10,condition1,1,NA,0,say,Hanako said: Ben didn't say that Laura ordered pizza.,307,NA,5806,acceptability,2,say,,
10,condition1,NA,embed,0,filler_good,<u>Hanako said: Ronald didn't imply that Jacy rented the truck.</u>,106,Who implied that Jacy rented the truck.,19099,backgroundedness,3,imply,,
10,condition1,NA,embed,0,mos,<u>Hanako said: Jake didn't yell that Yumi found the wallet.</u>,7,"What Yumi found, according to Jake.",9965,backgroundedness,4,yell,,
10,condition1,0.09,NA,1,mos,Hanako said: Igor didn't shriek that Penny won the lottery.,11,NA,8418,acceptability,5,shriek,,
10,condition1,0.98,NA,1,say,Hanako said: Danny didn't say that Jennifer got a cat.,308,NA,4484,acceptability,6,say,,
10,condition1,NA,embed,1,filler_bad,<u>Hanako said: Frankie didn't hope that the agent of the guitarist would show up. </u>,120,"Whose agent would show up, as Frankie hoped.",23061,backgroundedness,7,hope,,
10,condition1,NA,embed,1,filler_good,<u>Hanako said: Roger didn't expect that Andy would take the jacket.</u>,104,"What Andy would take, according to Roger.",15698,backgroundedness,8,expect,,
10,condition1,NA,verb,2,mos,<u>Hanako said: Yash didn't whine that Ming forgot her phone. </u>,9,The way Yash communicated that Ming forgot her phone.,13333,backgroundedness,9,whine,,
10,condition1,0.63,NA,2,say,Hanako said: Noah didn't say that Sharon wanted a dog.,312,NA,14707,acceptability,10,say,,
10,condition1,NA,embed,2,filler_good,<u>Hanako said: Selena didn't speculate that Justin would buy the house.</u>,105,"What Justin would buy, according to Selena.",12099,backgroundedness,11,spectulate,,
10,condition1,0.33,NA,2,filler_bad,Hanako said: Rui didn't imply that Carol's brother signed the contract.,119,NA,19963,acceptability,12,imply,,
10,condition1,1,NA,3,filler_good,Hanako said: Jess didn't reveal that Todd went out with Betty.,109,NA,8434,acceptability,13,reveal,,
10,condition1,0,NA,3,filler_bad,Hanako said: Amelia didn't suggest that Frank and Lisa were in the office.,117,NA,8827,acceptability,14,suggest,,
10,condition1,NA,verb,3,say,<u>Hanako said: Charlie didn't say that Maddie would call her roommate.</u>,305,The way Charlie communicated that Maddie would call her roommate.,21034,backgroundedness,15,say,,
10,condition1,NA,verb,3,mos,<u>Hanako said: Howard didn't mumble that Alex bought a birthday cake.</u>,3,The way Howard communicated that Alex bought a birthday cake.,12441,backgroundedness,16,mumble,,
10,condition1,NA,verb,4,mos,<u>Hanako said: Chandler didn't moan that Tia brought her parents.</u>,12,The way Chandler communicated that Tia brought her parents.,11218,backgroundedness,17,moan,,
10,condition1,0.02,NA,4,filler_bad,Hanako said: Michael didn't speculate that Robert and Eric would leave the team.,118,NA,13719,acceptability,18,spectulate,,
10,condition1,0.32,NA,4,say,Hanako said: Nancy didn't say that Julian ate the cupcake.,309,NA,11871,acceptability,19,say,,
10,condition1,NA,embed,4,filler_good,<u>Hanako said: Matthew didn't hope that Dana brought a gift.</u>,107,Who hoped that Dana brought a gift.,20059,backgroundedness,20,hope,,
10,condition1,NA,verb,5,filler_bad,<u>Hanako said: Helen didn't think that Rob and Marc cut the bread. </u>,113,Who thought that Marc cut the bread.,26019,backgroundedness,21,think,,
