workerid,proliferate.condition,acceptability_rating,bg_response,block_id,condition,context,item_id,original_bg_choice,rt,task,trial_num,verb,wrong_attempts,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
77,condition1,0.98,NA,5,filler_good_1,Hanako said: Charlie didn't expect that Maddie would call her <strong>ROOMMATE</strong>.,106,NA,5008,acceptability,32,expect,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,1,NA,5,verb_focus,Hanako said: Bill didn't <strong>SHOUT</strong> that Dan knew the professor.,5,NA,4247,acceptability,33,shout,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,NA,correct,5,filler_good_2,Hanako said: <strong>JULIAN</strong> didn't guess that Charlie received a message.,110,Who guessed that Charlie received a message.,8468,backgroundedness,34,guess,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,NA,correct,5,filler_bad_2,Hanako said: Donald didn't reveal that <strong>KRISHNA</strong>'s parents were moving to Texas.,123,"Whose parents were moving to Texas, according to Donald.",26002,backgroundedness,35,reveal,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,NA,correct,5,filler_bad_1,Hanako said: Helen didn't think that <strong>MARC</strong> cut the bread. ,114,"Who cut the bread, according to Helen.",572758,backgroundedness,36,think,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
81,condition1,0.98,NA,practice,practice_acceptability_good_1,Hanako said: Fiona didn't buy <strong>PINEAPPLES</strong>.,201,,,acceptability,0,NA,0,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,NA,correct,practice,practice_bg_good_2,Hanako said: Vera didn't <strong>DRIVE</strong> to Michigan.,202,How Vera travelled to Michigan.,,backgroundedness,0,NA,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,0.03,NA,practice,practice_accpetability_bad_2,Hanako said: Prisha doesn't speak <strong>KOREAN</strong>.,204,,,acceptability,0,NA,0,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,NA,correct,practice,practice_bg_bad_1,Hanako said: Hank didn't buy the <strong>RED</strong> car.,203,Which car Hank bought.,,backgroundedness,0,NA,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,0.27,NA,0,embed_focus,Hanako said: Ashley didn't groan that Hasan talked to the <strong>DETECTIVES</strong>.,8,NA,9050,acceptability,1,groan,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,0.42,NA,0,verb_focus,Hanako said: Howard didn't <strong>MUMBLE</strong> that Alex bought a birthday cake.,3,NA,5855,acceptability,2,mumble,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,NA,correct,0,filler_bad_1,Hanako said: Tony didn't suggest that <strong>LISA</strong> was in the office.,116,"Who was in the office, according to Tony.",7743,backgroundedness,3,suggest,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,NA,correct,0,filler_bad_2,Hanako said: Ted didn't insist that <strong>EVA</strong>'s uncle should stay for dinner. ,121,"Whose uncle should stay for dinner, according to Ted.",35166,backgroundedness,4,insist,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,0.89,NA,0,filler_good_1,Hanako said: Nancy didn't suspect that Julian ate the <strong>LAST CUPCAKE</strong>.,103,NA,100394,acceptability,5,suspect,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,NA,correct,0,filler_good_2,Hanako said: <strong>SALLY</strong> didn't expect that Tony would visit George.,112,Who expected that Tony would visit George.,6222,backgroundedness,6,expect,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,0.34,NA,1,embed_focus,Hanako said: Jake didn't yell that Yumi found the <strong>WALLET</strong>.,7,NA,5044,acceptability,7,yell,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,NA,correct,1,filler_bad_2,Hanako said: Donald didn't reveal that <strong>KRISHNA</strong>'s parents were moving to Texas.,123,"Whose parents were moving to Texas, according to Donald.",9156,backgroundedness,8,reveal,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,0.93,NA,1,filler_good_1,Hanako said: Grace didn't sugguest that Karen wrote a <strong>BOOK</strong>.,104,NA,3986,acceptability,9,suggest,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,0.38,NA,1,verb_focus,Hanako said: Bill didn't <strong>SHOUT</strong> that Dan knew the professor.,5,NA,3224,acceptability,10,shout,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,NA,correct,1,filler_bad_1,Hanako said: Emily didn't say that <strong>PAUL</strong> drafted the letter.,113,"Who drafted the letter, according to Emily.",73332,backgroundedness,11,say,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,NA,correct,1,filler_good_2,Hanako said: <strong>KATE</strong> didn't insist that Zack broke the plates.,109,Who insisted that Zack broke the plates.,4198,backgroundedness,12,insist,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,NA,correct,2,filler_bad_2,Hanako said: Frankie didn't hope that the agent of the <strong>GUITARIST</strong> would show up. ,120,"Whose agent would show up, according to Frankie.",8593,backgroundedness,13,hope,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,0.78,NA,2,embed_focus,Hanako said: Emma didn't stammer that Kevin lost the <strong>KEYS</strong>.,2,NA,3904,acceptability,14,stammer,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,0.81,NA,2,verb_focus,Hanako said: Igor didn't <strong>SHRIEK</strong> that Penny won the lottery.,11,NA,7228,acceptability,15,shriek,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,NA,correct,2,filler_bad_1,Hanako said: Larry didn't believe that <strong>NICK</strong> cooked dinner.,117,"Who cooked dinner, according to Larry.",13925,backgroundedness,16,believe,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,NA,correct,2,filler_good_2,Hanako said: <strong>MATTHEW</strong> didn't hope that Dana brought a gift.,108,Who hoped that Dana brought a gift.,26360,backgroundedness,17,hope,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,0.85,NA,2,filler_good_1,Hanako said: Charlie didn't expect that Maddie would call her <strong>ROOMMATE</strong>.,106,NA,4532,acceptability,18,expect,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,0.76,NA,3,filler_good_1,Hanako said: Danny didn't believe that Jennifer got a <strong>CAT</strong>.,105,NA,6592,acceptability,19,believe,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,NA,correct,3,filler_good_2,Hanako said: <strong>JESS</strong> didn't reveal that Todd went out with Betty.,111,Who revealed that Todd went out with Betty.,20467,backgroundedness,20,reveal,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,0.52,NA,3,verb_focus,Hanako said: John didn't <strong>WHISPER</strong> that Mary met with the lawyer.,1,NA,7358,acceptability,21,whisper,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,NA,correct,3,filler_bad_1,Hanako said: Ben didn't expect that <strong>LAURA</strong> would order pizza.,118,"Who would order pizza, according to Ben.",6247,backgroundedness,22,expect,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,NA,incorrect,3,filler_bad_2,Hanako said: Jamal didn't expect that the book about <strong>ASTRONOMY</strong> was on the shelf.,124,"Where the book about astronomy was, according to Jamal.",85908,backgroundedness,23,expect,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,0.18,NA,3,embed_focus,Hanako said: Yash didn't whine that Ming forgot her <strong>PHONE</strong>.,9,NA,6803,acceptability,24,whine,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,NA,correct,4,filler_bad_1,Hanako said: Helen didn't think that <strong>MARC</strong> cut the bread. ,114,"Who cut the bread, according to Helen.",5778,backgroundedness,25,think,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,0.45,NA,4,embed_focus,Hanako said: Fatima didn't murmur that Omar had dinner with his <strong>MANAGER</strong>.,10,NA,5036,acceptability,26,murmur,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,0.34,NA,4,verb_focus,Hanako said: Chandler didn't <strong>MOAN</strong> that Tia brought her parents.,12,NA,35320,acceptability,27,moan,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,NA,correct,4,filler_bad_2,Hanako said: Rui didn't imply that <strong>CAROL</strong>'s brother signed the contract.,119,"Whose brother signed the contract, according to Rui.",88491,backgroundedness,28,imply,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,0.59,NA,4,filler_good_1,Hanako said: Ollie didn't think that Doug would invite the <strong>MAYOR</strong>.,102,NA,10782,acceptability,29,think,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,NA,correct,4,filler_good_2,Hanako said: <strong>RONALD</strong> didn't imply that Jacy rented the truck.,107,Who implied that Jacy rented the truck.,130982,backgroundedness,30,imply,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,NA,correct,5,filler_bad_2,Hanako said: Jessie didn't guess that the assistant to the <strong>DIRECTOR</strong> would give the presentation.,122,"Whose assistant would give the presentation, according to Jessie.",154710,backgroundedness,31,guess,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,0.65,NA,5,embed_focus,Hanako said: Amy didn't scream that Charlie saw the <strong>ROBBER</strong>.,6,NA,34361,acceptability,32,scream,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,0.63,NA,5,filler_good_1,Hanako said: Hannah didn't say that George emailed the <strong>STUDENTS</strong>.,101,NA,3298,acceptability,33,say,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,NA,correct,5,filler_good_2,Hanako said: <strong>JULIAN</strong> didn't guess that Charlie received a message.,110,Who guessed that Charlie received a message.,4958,backgroundedness,34,guess,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,NA,correct,5,filler_bad_1,Hanako said: Tim didn't suspect that <strong>JASON</strong> drank the beer. ,115,"Who drank the beer, according to Tim.",3681,backgroundedness,35,suspect,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
81,condition1,0.76,NA,5,verb_focus,Hanako said: Laura didn't <strong>MUTTER</strong> that Brandon broke his laptop.,4,NA,141992,acceptability,36,mutter,,[],21,Yes,,2,1,Female,english,Chrome,Mac,900,1440,20.4262,
83,condition1,0.97,NA,practice,practice_acceptability_good_1,Hanako said: Fiona didn't buy <strong>PINEAPPLES</strong>.,201,,,acceptability,0,NA,0,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,NA,correct,practice,practice_bg_good_2,Hanako said: Vera didn't <strong>DRIVE</strong> to Michigan.,202,How Vera travelled to Michigan.,,backgroundedness,0,NA,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,0.5,NA,practice,practice_accpetability_bad_2,Hanako said: Prisha doesn't speak <strong>KOREAN</strong>.,204,,,acceptability,0,NA,0,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,NA,correct,practice,practice_bg_bad_1,Hanako said: Hank didn't buy the <strong>RED</strong> car.,203,Which car Hank bought.,,backgroundedness,0,NA,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,0.21,NA,0,verb_focus,Hanako said: Howard didn't <strong>MUMBLE</strong> that Alex bought a birthday cake.,3,NA,53991,acceptability,1,mumble,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,0,NA,0,embed_focus,Hanako said: Yash didn't whine that Ming forgot her <strong>PHONE</strong>.,9,NA,9348,acceptability,2,whine,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,NA,correct,0,filler_good_2,Hanako said: <strong>KATE</strong> didn't insist that Zack broke the plates.,109,Who insisted that Zack broke the plates.,10697,backgroundedness,3,insist,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,NA,correct,0,filler_bad_1,Hanako said: Ben didn't expect that <strong>LAURA</strong> would order pizza.,118,"Who would order pizza, according to Ben.",20228,backgroundedness,4,expect,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,NA,correct,0,filler_bad_2,Hanako said: Ted didn't insist that <strong>EVA</strong>'s uncle should stay for dinner. ,121,"Whose uncle should stay for dinner, according to Ted.",32445,backgroundedness,5,insist,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,0.97,NA,0,filler_good_1,Hanako said: Danny didn't believe that Jennifer got a <strong>CAT</strong>.,105,NA,6784,acceptability,6,believe,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,0.98,NA,1,embed_focus,Hanako said: John didn't whisper that Mary met with the <strong>LAWYER</strong>.,1,NA,8695,acceptability,7,whisper,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,0.2,NA,1,verb_focus,Hanako said: Jake didn't <strong>YELL</strong> that Yumi found the wallet.,7,NA,9570,acceptability,8,yell,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,0.45,NA,1,filler_good_1,Hanako said: Nancy didn't suspect that Julian ate the <strong>LAST CUPCAKE</strong>.,103,NA,32758,acceptability,9,suspect,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,NA,correct,1,filler_bad_1,Hanako said: Larry didn't believe that <strong>NICK</strong> cooked dinner.,117,"Who cooked dinner, according to Larry.",9651,backgroundedness,10,believe,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,NA,correct,1,filler_good_2,Hanako said: <strong>SALLY</strong> didn't expect that Tony would visit George.,112,Who expected that Tony would visit George.,8616,backgroundedness,11,expect,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,NA,correct,1,filler_bad_2,Hanako said: Jessie didn't guess that the assistant to the <strong>DIRECTOR</strong> would give the presentation.,122,"Whose assistant would give the presentation, according to Jessie.",14061,backgroundedness,12,guess,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,0.02,NA,2,verb_focus,Hanako said: Laura didn't <strong>MUTTER</strong> that Brandon broke his laptop.,4,NA,9096,acceptability,13,mutter,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,NA,correct,2,filler_good_2,Hanako said: <strong>RONALD</strong> didn't imply that Jacy rented the truck.,107,Who implied that Jacy rented the truck.,8408,backgroundedness,14,imply,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,0.96,NA,2,filler_good_1,Hanako said: Grace didn't sugguest that Karen wrote a <strong>BOOK</strong>.,104,NA,10819,acceptability,15,suggest,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,NA,correct,2,filler_bad_2,Hanako said: Frankie didn't hope that the agent of the <strong>GUITARIST</strong> would show up. ,120,"Whose agent would show up, according to Frankie.",23328,backgroundedness,16,hope,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,0.79,NA,2,embed_focus,Hanako said: Igor didn't shriek that Penny won the <strong>LOTTERY</strong>.,11,NA,8102,acceptability,17,shriek,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,NA,correct,2,filler_bad_1,Hanako said: Helen didn't think that <strong>MARC</strong> cut the bread. ,114,"Who cut the bread, according to Helen.",30704,backgroundedness,18,think,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,NA,correct,3,filler_bad_2,Hanako said: Donald didn't reveal that <strong>KRISHNA</strong>'s parents were moving to Texas.,123,"Whose parents were moving to Texas, according to Donald.",33024,backgroundedness,19,reveal,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,0.03,NA,3,verb_focus,Hanako said: Amy didn't <strong>SCREAM</strong> that Charlie saw the robber.,6,NA,21456,acceptability,20,scream,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,0.04,NA,3,embed_focus,Hanako said: Chandler didn't moan that Tia brought her <strong>PARENTS</strong>.,12,NA,8288,acceptability,21,moan,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,NA,correct,3,filler_good_2,Hanako said: <strong>JULIAN</strong> didn't guess that Charlie received a message.,110,Who guessed that Charlie received a message.,9602,backgroundedness,22,guess,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,NA,correct,3,filler_bad_1,Hanako said: Tim didn't suspect that <strong>JASON</strong> drank the beer. ,115,"Who drank the beer, according to Tim.",13955,backgroundedness,23,suspect,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,0.96,NA,3,filler_good_1,Hanako said: Charlie didn't expect that Maddie would call her <strong>ROOMMATE</strong>.,106,NA,6752,acceptability,24,expect,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
83,condition1,0.97,NA,4,embed_focus,Hanako said: Emma didn't stammer that Kevin lost the <strong>KEYS</strong>.,2,NA,17151,acceptability,25,stammer,,[],20,Yes,,2,1,Female,english,Chrome,Mac,800,1280,12.0985,
