item,verb,condition,context_full,target_full,option_bg,option_fg
12,moan,mos_verb_focus,Hanako said: Chandler didn't MOAN that Tia brought her parents.,Scott said: Then who did Chandler moan that Tia brought?,"Who Tia brought, according to Chandler.",The way Chandler said that Tia brought her parents.
1,whisper,mos_emb_focus,Hanako said: John didn't whisper that Mary met with the LAWYER.,Scott said: Then who did John whisper that Mary met with?,"Who Mary met with, according to John.",The way John said that Mary met with the lawyer.
2,stammer,mos_emb_focus,Hanako said: Emma didn't stammer that Kevin lost the KEYS.,Scott said: Then what did Emma stammer that Kevin lost?,"What Kevin lost, according to Emma.",The way Emma said that Kevin lost the keys.
3,mumble,mos_emb_focus,Hanako said: Howard didn't mumble that Alex bought a BIRTHDAY CAKE.,Scott said: Then what did Howard mumble that Alex bought?,"What Alex bought, according to Howard.",The way Howard said that Alex bought a birthday cake.
4,mutter,mos_emb_focus,Hanako said: Laura didn't mutter that Brandon broke his LAPTOP.,Scott said: Then what did Laura mutter that Brandon broke?,"What Brandon broke, according to Laura.",The way Laura said that Brandon broke his laptop.
5,shout,mos_emb_focus,Hanako said: Bill didn't shout that Dan knew the PROFESSOR.,Scott said: Then who did Bill shout that Dan knew?,"Who Dan knew, according to Bill.",The way Bill said that Dan knew the professor.
6,scream,mos_emb_focus,Hanako said: Amy didn't scream that Charlie saw the ROBBER.,Scott said: Then who did Amy scream that Charlie saw?,"Who Charlie saw, according to Amy.",The way Amy said that Charlie saw the robber.
7,yell,mos_emb_focus,Hanako said: Jake didn't yell that Yumi found the WALLET.,Scott said: Then what did Jake yell that Yumi found?,"What Yumi found, according to Jake.",The way Jake said that Yumi found the wallet.
8,groan,mos_emb_focus,Hanako said: Ashley didn't groan that Hasan talked to the DETECTIVES.,Scott said: Then who did Ashley groan that Hasan talked to?,"Who Hasan talked to, according to Ashley.",The way Ashley said that Hasan talked to the detectives.
9,whine,mos_emb_focus,Hanako said: Yash didn't whine that Ming forgot her PHONE. ,Scott said: Then what did Yash whine that Ming forgot?,"What Ming forgot, according to Yash.",The way Yash said that Ming forgot her phone.
10,murmur,mos_emb_focus,Hanako said: Fatima didn't murmur that Omar had dinner with his MANAGER.,Scott said: Then who did Fatima murmur that Omar had dinner with?,"Who Omar had dinner with, according to Fatima.",The way Fatima said that Omar had dinner with his manager.
11,shriek,mos_emb_focus,Hanako said: Igor didn't shriek that Penny won the LOTTERY.,Scott said: Then what did Igor shriek that Penny won?,"What Penny won, according to Igor.",The way Igor said that Penny won the lottery.
12,moan,mos_emb_focus,Hanako said: Chandler didn't moan that Tia brought her PARENTS.,Scott said: Then who did Chandler moan that Tia brought?,"Who Tia brought, according to Chandler.",The way Chandler said that Tia brought her parents.
301,say,say_verb_focus,Hanako said: Hannah didn't SAY that George emailed the students.,Scott said: Then who did Hannah say that George emailed?,"Who George emailed, according to Hannah.","What Hannah did with the message ""George emailed the students."""
302,say,say_verb_focus,Hanako said: Emily didn't SAY that Paul drafted the letter.,Scott said: Then what did Emily say that Paul drafted?,"What Paul drafted, according to Emily.","What Emily did with the message ""Paul drafted the letter."""
303,say,say_verb_focus,Hanako said: Sally didn't SAY that Tony would visit George.,Scott said: Then who did Sally say that Tony would visit?,"Who Tony would, according to Sally.","What Sally did with the message ""Tony would visit George."""
304,say,say_verb_focus,Hanako said: Tim didn't SAY that Jason drank the beer. ,Scott said: Then what did Tim say that Jason drank?,"What Jason drank, according to Tim.","What Tim did with the message ""Jason drank the beer."""
305,say,say_verb_focus,Hanako said: Charlie didn't SAY that Maddie would call her roommate.,Scott said: Then who did Charlie say that Maddie would call?,"Who Maddie would call, according to Charlie.","What Charlie did with the message ""Maddie would call her roommate."""
306,say,say_verb_focus,Hanako said: Kate didn't SAY that Zack broke the plates.,Scott said: Then what did Kate say that Zack broke?,"What Zack broke, according to Kate.","What Kate did with the message ""Zack broke the plates."""
307,say,say_verb_focus,Hanako said: Ben didn't SAY that Laura ordered pizza.,Scott said: Then what did Ben say that Laura ordered?,"What Laura ordered, according to Ben.","What Ben did with the message ""Laura ordered pizza."""
308,say,say_verb_focus,Hanako said: Danny didn't SAY that Jennifer got a cat.,Scott said: Then what did Danny say that Jennifer got?,"What Jennifer got, according to Danny.","What Danny did with the message ""Jennifer got a cat."""
309,say,say_verb_focus,Hanako said: Nancy didn't SAY that Julian ate the cupcake.,Scott said: Then what did Nancy say that Julian ate?,"What Julian ate, according to Nancy.","What Nancy did with the message ""Julian ate the cupcake."""
310,say,say_verb_focus,Hanako said: Jessie didn't SAY that Michelle borrowed the computer.,Scott said: Then what did Jessie say that Michelle borrowed?,"What Michelle borrowed, according to Jessie.","What Jessie did with the message ""Michelle borrowed the computer."""
311,say,say_verb_focus,Hanako said: Tom didn't SAY that Sarah admired her friend. ,Scott said: Then who did Tom say that Sarah admired?,"Who Sarah admired, according to Tom.","What Tom did with the message ""Sarah admired her friend."""
312,say,say_verb_focus,Hanako said: Noah didn't SAY that Sharon wanted a dog.,Scott said: Then what did Noah say that Sharon wanted?,"What Sharon wanted, according to Noah.","What Noah did with the message ""Sharon wanted a dog."""
301,say,say_emb_focus,Hanako said: Hannah didn't say that George emailed the STUDENTS.,Scott said: Then who did Hannah say that George emailed?,"Who George emailed, according to Hannah.","What Hannah did with the message ""George emailed the students."""
302,say,say_emb_focus,Hanako said: Emily didn't say that Paul drafted the LETTER.,Scott said: Then what did Emily say that Paul drafted?,"What Paul drafted, according to Emily.","What Emily did with the message ""Paul drafted the letter."""
303,say,say_emb_focus,Hanako said: Sally didn't say that Tony would visit GEORGE.,Scott said: Then who did Sally say that Tony would visit?,"Who Tony would visit, according to Sally.","What Sally did with the message ""Tony would visit George."""
304,say,say_emb_focus,Hanako said: Tim didn't say that Jason drank the BEER. ,Scott said: Then what did Tim say that Jason drank?,"What Jason drank, according to Tim.","What Tim did with the message ""Jason drank the beer."""
305,say,say_emb_focus,Hanako said: Charlie didn't say that Maddie would call her ROOMMATE.,Scott said: Then who did Charlie say that Maddie would call?,"Who Maddie would call, according to Charlie.","What Charlie did with the message ""Maddie would call her roommate."""
306,say,say_emb_focus,Hanako said: Kate didn't say that Zack broke the PLATES.,Scott said: Then what did Kate say that Zack broke?,"What Zack broke, according to Kate.","What Kate did with the message ""Zack broke the plates."""
307,say,say_emb_focus,Hanako said: Ben didn't say that Laura ordered PIZZA.,Scott said: Then what did Ben say that Laura ordered?,"What Laura ordered, according to Ben.","What Ben did with the message ""Laura ordered pizza."""
308,say,say_emb_focus,Hanako said: Danny didn't say that Jennifer got a CAT.,Scott said: Then what did Danny say that Jennifer got?,"What Jennifer got, according to Danny.","What Danny did with the message ""Jennifer got a cat."""
309,say,say_emb_focus,Hanako said: Nancy didn't say that Julian ate the CUPCAKE.,Scott said: Then what did Nancy say that Julian ate?,"What Julian ate, according to Nancy.","What Nancy did with the message ""Julian ate the cupcake."""
310,say,say_emb_focus,Hanako said: Jessie didn't say that Michelle borrowed the COMPUTER.,Scott said: Then what did Jessie say that Michelle borrowed?,"What Michelle borrowed, according to Jessie.","What Jessie did with the message ""Michelle borrowed the computer."""
311,say,say_emb_focus,Hanako said: Tom didn't say that Sarah admired her FRIEND. ,Scott said: Then who did Tom say that Sarah admired?,"Who Sarah admired, according to Tom.","What Tom did with the message ""Sarah admired her friend."""
312,say,say_emb_focus,Hanako said: Noah didn't say that Sharon wanted a DOG.,Scott said: Then what did Noah say that Sharon wanted?,"What Sharon wanted, according to Noah.","What Noah did with the message ""Sharon wanted a dog."""
101,think,filler_good,Hanako said: Ollie didn't think that Doug would invite the MAYOR.,Scott said: Then who did Ollie think that Doug would invite?,"Who Doug would invite, according to Ollie.",Who invited the mayor acoording to Ollie.
102,suggest,filler_good,Hanako said: Grace didn't suggest that Karen wrote a BOOK.,Scott said: Then what did Grace suggest that Karen wrote?,"What Karen wrote, according to Grace.","Who wrote a book, according to Grace."
103,believe,filler_good,Hanako said: Jean didn't believe that Grant adopted a KITTEN.,Scott said: Then what did Jean believe that Grant adopted?,"What Grant adopted, according to Jean.","Who adopted the kitten, according to Jean."
104,hope,filler_good,Hanako said: MATTHEW didn't hope that Dana brought a gift.,Scott said: Then who hoped that Dana brought a gift?,Who hoped that Dana brought a gift.,"What Dana brought, according to Matthew."
105,guess,filler_good,Hanako said: JULIE didn't guess that Charlie received a message.,Scott said: Then who guessed that Charlie received a message?,Who guessed that Charlie received a message.,"What Charlie received, according to Julie."
106,reveal,filler_good,Hanako said: JESS didn't reveal that Todd went out with Betty.,Scott said: Then who revealed that Todd went out with Betty?,Who revealed that Todd went out with Betty.,"Who Todd went out with, according to Jess."
107,think,filler_bad,Hanako said: Helen didn't think that Rob and MARC cut the bread. ,Scott said: Then who did Helen think that Rob and cut the bread?,"Who else cut the bread other than Rob, according to Helen.",Who thought that Marc cut the bread.
108,suspect,filler_bad,Hanako said: Tim didn't suspect that Liz and JASON drank the beer. ,Scott said: Then who did Tim suspect that Liz and drank the beer?,"Who else drank the beer other than Liz, according to Tim.",Who suspected that Jason drank the beer.
109,believe,filler_bad,Hanakko said: Larry didn't believe that Karl and NICK cooked dinner.,Scott said: Then who did Larry believe that Karl and cooked dinner?,"Who else cooked dinner other than Karl, according to Larry.",Who believed that Nick cooked dinner.
110,imply,filler_bad,Hanako said: Rui didn't imply that CAROL's brother signed the contract.,Scott said: Then who did Rui imply that the brother of signed the contract?,"Whose brother signed the contract, according to Rui.","What Carol's brother signed, according to Rui."
111,hope,filler_bad,Hanako said: Frankie didn't hope that the agent of the GUITARIST would show up. ,Scott said: Then who did Frankie hope that the agent of would show up?,"Whose agent would show up, as Frankie hoped.","What the agent of the guitarist did, according to Frankie."
112,guess,filler_bad,Hanako said: Jessie didn't guess that the assistant to the DIRECTOR would give the presentation.,Scott said: Then who did Jessie guess that the assistant to would give the presentation?,"Whose assistant would give the presentation, as Jessie guessed.","What the assistant to the director would do, according to Jessie."
201,,practice_good,Hanako said: Fiona didn't buy PINEAPPLES. ,Scott said: Then what did Fiona buy?,What Fiona bought.,Who bought pineapples.
202,,practice_good,Hanako said: Vera didn't DRIVE to Michigan. ,Scott said: Then how did Vera get to Michigan?,How Vera travelled to Michigan.,Where Vera drove to.
203,,practice_bad,Hanako said: Hank didn't buy the RED car.,Scott said: Then what color did Hank buy car?,Which car Hank bought.,Who bought the red car.
204,,practice_bad,Hanako said: Prisha doesn't speak KOREAN.,Scott said: Then what Prisha does speak the language?,What language does Prisha speak.,Who speaks Korean.
