item,verb,condition,context_full,target_full,option_bg,option_fg
307,say,say,Hanako said: Ben didn't say that Laura ordered pizza.,Scott said: Then what did Ben say that Laura ordered?,"What Laura ordered, according to Ben.","What Ben did with the message ""Laura ordered pizza."""
308,say,say,Hanako said: Danny didn't say that Jennifer got a cat.,Scott said: Then what did Danny say that Jennifer got?,"What Jennifer got, according to Danny.","What Danny did with the message ""Jennifer got a cat."""
309,say,say,Hanako said: Nancy didn't say that Julian ate the cupcake.,Scott said: Then what did Nancy say that Julian ate?,"What Julian ate, according to Nancy.","What Nancy did with the message ""Julian ate the cupcake."""
310,say,say,Hanako said: Jessie didn't say that Michelle borrowed the computer.,Scott said: Then what did Jessie say that Michelle borrowed?,"What Michelle borrowed, according to Jessie.","What Jessie did with the message ""Michelle borrowed the computer."""
311,say,say,Hanako said: Tom didn't say that Sarah admired her friend. ,Scott said: Then who did Tom say that Sarah admired?,"Who Sarah admired, according to Tom.","What Tom did with the message ""Sarah admired her friend."""
312,say,say,Hanako said: Noah didn't say that Sharon wanted a dog.,Scott said: Then what did Noah say that Sharon wanted?,"What Sharon wanted, according to Noah.","What Noah did with the message ""Sharon wanted a dog."""
101,think,filler_good,Hanako said: Ollie didn't think that Doug would invite the mayor.,Scott said: Then who did Ollie think that Doug would invite?,"Who Doug would invite, according to Ollie.",Who invited the mayor acoording to Ollie.
102,suggest,filler_good,Hanako said: Grace didn't suggest that Karen wrote a book.,Scott said: Then what did Grace suggest that Karen wrote?,"What Karen wrote, according to Grace.","Who wrote a book, according to Grace."
103,believe,filler_good,Hanako said: Jean didn't believe that Grant adopted a kitten.,Scott said: Then what did Jean believe that Grant adopted?,"What Grant adopted, according to Jean.","Who adopted the kitten, according to Jean."
104,expect,filler_good,Hanako said: Roger didn't expect that Andy would take the jacket.,Scott said: Then what did Roger expect that Andy would take?,"What Andy would take, according to Roger.","Who would take the jacket, according to Roger."
105,spectulate,filler_good,Hanako said: Selena didn't speculate that Justin would buy the house.,Scott said: Then what did Selena speculate that Justin would buy?,"What Justin would buy, according to Selena.","Who would buy the house, according to Selena."
106,imply,filler_good,Hanako said: Ronald didn't imply that Jacy rented the truck.,Scott said: Then who implied that Jacy rented the truck?,Who implied that Jacy rented the truck.,"What Jacy rented, according to Ronald."
107,hope,filler_good,Hanako said: Matthew didn't hope that Dana brought a gift.,Scott said: Then who hoped that Dana brought a gift?,Who hoped that Dana brought a gift.,"What Dana brought, according to Matthew."
108,guess,filler_good,Hanako said: Julie didn't guess that Charlie received a message.,Scott said: Then who guessed that Charlie received a message?,Who guessed that Charlie received a message.,"What Charlie received, according to Julie."
109,reveal,filler_good,Hanako said: Jess didn't reveal that Todd went out with Betty.,Scott said: Then who revealed that Todd went out with Betty?,Who revealed that Todd went out with Betty.,"Who Todd went out with, according to Jess."
110,suspect,filler_good,Hanako said: Sebrina didn't suspect that James would cancel the trip.,Scott said: Then who suspect that James would cancel the trip?,Who suspected that James would cancel the trip.,"Who would cancel the trip, according to Sebrina."
111,expect,filler_good,Hanako said: Ryan didn't expect that Leon heard the news.,Scott said: Then who expected that Leon heard the news?,"What Leon heard, according to Ryan.","Who heard the news, according to Leon."
112,confirm,filler_good,Hanako said: Juliet didn't confirm that Sebastian would come to the party.,Scott said: Then who confirmed that Sebastian would come to the party?,Who confirmed that Sebastian would come to the party.,"Who would come to the party, according to Juliet."
113,think,filler_bad,Hanako said: Helen didn't think that Rob and Marc cut the bread. ,Scott said: Then who did Helen think that Rob and cut the bread?,"Who else cut the bread other than Rob, according to Helen.",Who thought that Marc cut the bread.
114,suspect,filler_bad,Hanako said: Tim didn't suspect that Liz and Jason drank the beer. ,Scott said: Then who did Tim suspect that Liz and drank the beer?,"Who else drank the beer other than Liz, according to Tim.",Who suspected that Jason drank the beer.
115,believe,filler_bad,Hanakko said: Larry didn't believe that Karl and Nick cooked dinner.,Scott said: Then who did Larry believe that Karl and cooked dinner?,"Who else cooked dinner other than Karl, according to Larry.",Who believed that Nick cooked dinner.
116,expect,filler_bad,Hanako said: Ben didn't expect that Judith and Eleanor would solve the puzzle.,Scott said: Then who did Ben expect that Judith and would solve the puzzle?,Who else would solve the puzzle other than Judith.,Who expected that Eleanor would solve the puzzle.
117,suggest,filler_bad,Hanako said: Amelia didn't suggest that Frank and Lisa were in the office.,Scott said: Then who did Amelia suggest that Frank and were in the office?,Who else was in the office other than Frank.,Who suggested that Lisa was in the office.
118,spectulate,filler_bad,Hanako said: Michael didn't speculate that Robert and Eric would leave the team.,Scott said: Then who did Michael speculate that Robert and would leave the team?,Who else would leave the team other than Robert.,Who spculated that Eric would leave the team.
119,imply,filler_bad,Hanako said: Rui didn't imply that Carol's brother signed the contract.,Scott said: Then who did Rui imply that the brother of signed the contract?,"Whose brother signed the contract, according to Rui.","What Carol's brother signed, according to Rui."
120,hope,filler_bad,Hanako said: Frankie didn't hope that the agent of the guitarist would show up. ,Scott said: Then who did Frankie hope that the agent of would show up?,"Whose agent would show up, as Frankie hoped.","What the agent of the guitarist did, according to Frankie."
121,guess,filler_bad,Hanako said: Jessie didn't guess that the assistant to the director would give the presentation.,Scott said: Then who did Jessie guess that the assistant to would give the presentation?,"Whose assistant would give the presentation, as Jessie guessed.","What the assistant to the director would do, according to Jessie."
122,reveal,filler_bad,Hanako said: Donald didn't reveal that the parents of Krishna were moving to Texas. ,Scott said: Then who did Donald reveal that the parents of were moving to Texas?,"Whose parents were moving to Texas, as Donald revealed.","Where Krishna's parents were moving to, according to Donald."
123,expect,filler_bad,Hanako said: Jamal didn't expect that the book about astronomy was on the shelf.,Scott said: Then what did Jamal expect that the book about was on the shelf? ,Which book Jamal expected to be on the shelf.,"Where the book about astronomy was, according to Jamal. "
124,insist,filler_bad,Hanako said: Ted didn't insist that Eva's uncle should stay for dinner. ,Scott said: Then who did Ted insist that the uncle of should stay for dinner?,"Whose uncle should stay for dinner, as Tedd insisted.","What Eva's uncle should do, according to Ted."
201,,practice_good,Hanako said: Fiona didn't buy pineapple. ,Scott said: Then what did Fiona buy?,What Fiona bought.,Who bought pineapples.
202,,practice_good,Hanako said: Vera didn't drive to Michigan. ,Scott said: Then how did Vera get to Michigan?,How Vera travelled to Michigan.,Where Vera drove to.
203,,practice_bad,Hanako said: Hank didn't buy the red car.,Scott said: Then what color did Hank buy car?,Which car Hank bought.,Who bought the red car.
204,,practice_bad,Hanako said: Prisha doesn't speak Korean.,Scott said: Then what Prisha does speak the language?,What language does Prisha speak.,Who speaks Korean.
