item,verb,condition,context_full,target_full,option_bg,option_fg
12,moan,verb_focus,Scott said: Chandler didn't MOAN that Tia brought her parents.,Hanako said: Then who did Chandler moan that Tia brought?,Who Tia brought according to Chandler.,The way Chandler said that Tia brought her parents.
1,whisper,emb_focus,Scott said: John didn't whisper that Mary met with the LAWYER.,Hanako said: Then who did John whisper that Mary met with?,Who Mary met with according to John.,The way John said that Mary met with the lawyer.
2,stammer,emb_focus,Scott said: Emma didn't stammer that Kevin lost the KEYS.,Hanako said: Then what did Emma stammer that Kevin lost?,What Kevin lost according to Emma.,The way Emma said that Kevin lost the keys.
3,mumble,emb_focus,Scott said: Howard didn't mumble that Alex bought a BIRTHDAY CAKE.,Hanako said: Then what did Howard mumble that Alex bought?,What Alex bought according to Howard.,The way Howard said that Alex bought a birthday cake.
4,mutter,emb_focus,Scott said: Laura didn't mutter that Brandon broke his LAPTOP.,Hanako said: Then what did Laura mutter that Brandon broke?,What Brandon broke according to Laura.,The way Laura said that Brandon broke his laptop.
5,shout,emb_focus,Scott said: Bill didn't shout that Dan knew the PROFESSOR.,Hanako said: Then who did Bill shout that Dan knew?,Who Dan knew according to Bill.,The way Bill said that Dan knew the professor.
6,scream,emb_focus,Scott said: Amy didn't scream that Charlie saw the ROBBER.,Hanako said: Then who did Amy scream that Charlie saw?,Who Charlie saw according to Amy.,The way Amy said that Charlie saw the robber.
7,yell,emb_focus,Scott said: Jake didn't yell that Yumi found the WALLET.,Hanako said: Then what did Jake yell that Yumi found?,What Yumi found according to Jake.,The way Jake said that Yumi found the wallet.
8,groan,emb_focus,Scott said: Ashley didn't groan that Hasan talked to the DETECTIVES.,Hanako said: Then who did Ashley groan that Hasan talked to?,Who Hasan talked to according to Ashley.,The way Ashley said that Hasan talked to the detectives.
9,whine,emb_focus,Scott said: Yash didn't whine that Ming forgot her PHONE. ,Hanako said: Then what did Yash whine that Ming forgot?,What Ming forgot according to Yash.,The way Yash said that Ming forgot her phone.
10,murmur,emb_focus,Scott said: Fatima didn't murmur that Omar had dinner with his MANAGER.,Hanako said: Then who did Fatima murmur that Omar had dinner with?,Who Omar had dinner with according to Fatima.,The way Fatima said that Omar had dinner with his manager.
11,shriek,emb_focus,Scott said: Igor didn't shriek that Penny won the LOTTERY.,Hanako said: Then what did Igor shriek that Penny won?,What Penny won according to Igor.,The way Igor said that Penny won the lottery.
12,moan,emb_focus,Scott said: Chandler didn't moan that Tia brought her PARENTS.,Hanako said: Then who did Chandler moan that Tia brought?,Who Tia brought according to Chandler.,The way Chandler said that Tia brought her parents.
101,say,filler_good_1,Scott said: Hannah didn't say that George emailed the STUDENTS.,Hanako said: Then who did Hannah say that George emailed?,Who George emailed according to Hannah.,Who emailed the students according to Hannah.
102,think,filler_good_1,Scott said: Ollie didn't think that Doug would invite the MAYOR.,Hanako said: Then who did Ollie think that Doug would invite?,Who Doug would invite according to Ollie.,Who invited the mayor acoording to Ollie.
103,suspect,filler_good_1,Scott said: Nancy didn't suspect that Julian ate the LAST CUPCAKE.,Hanako said: Then what did Nancy suspect that Julian ate?,What Julian ate according to Nancy.,Who ate the last cupcake according to Nancy.
104,suggest,filler_good_1,Scott said: Grace didn't sugguest that Karen wrote a BOOK.,Hanako said: Then what did Grace suggst that Karen wrote?,What Karen wrote according to Grace.,Who wrote a book according to Grace.
105,believe,filler_good_1,Scott said: Danny didn't believe that Jennifer got a CAT.,Hanako said: Then what did Danny believe that Jennifer got?,What Jennifer got according to Danny.,Who got a cat according to Danny.
106,expect,filler_good_1,Scott said: Charlie didn't expect that Maddie would call her ROOMMATE.,Hanako said: Then who did Charlie expect that Maddie would call?,Who Maddie would call according to Charlie.,Who would call Maddie's roommates according to Charlie.
107,imply,filler_good_2,Scott said: RONALD didn't imply that Jacy rented the truck.,Hanako said: Then who implied that Jacy rented the truck?,Who implied that Jacy rented the truck.,What Jacy rented according to Ronald.
108,hope,filler_good_2,Scott said: MATTHEW didn't hope that Dana brought a gift.,Hanako said: Then who hoped that Dana brought a gift?,Who hoped that Dana brought a gift.,What Dana brought according to Matthew.
109,insist,filler_good_2,Scott said: KATE didn't insist that Zack broke the plates.,Hanako said: Then who insisted that Zack broke the plates?,Who insisted that Zack broke the plates.,What Zack broke according to Kate.
110,guess,filler_good_2,Scott said: JULIAN didn't guess that Charlie received a message.,Hanako said: Then who guessed that Charlie received a message?,Who guessed that Charlie received a message.,What Charlie received according to Julian.
111,reveal,filler_good_2,Scott said: JESS didn't reveal that Todd went out with Betty.,Hanako said: Then who revealed that Todd went out with Betty?,Who revealed that Todd went out with Betty.,Who Todd went out with according to Jess.
112,expect,filler_good_2,Scott said: SALLY didn't expect that Tony would visit George.,Hanako said: Then who expected that Tony would visit George?,Who expected that Tony would visit George.,Who Tony would visit according to Sally.
113,say,filler_bad_1,Scott said: Emily didn't say that PAUL drafted the letter.,Hanako said: Then who did Emily say that drafted the letter?,Who drafted the letter according to Emily.,Who said that Paul drafted the letter.
114,think,filler_bad_1,Scott said: Helen didn't think that MARC cut the bread. ,Hanako said: Then who did Helen think that cut the bread?,Who cut the bread according to Helen.,Who thought that Marc cut the bread.
115,suspect,filler_bad_1,Scott said: Tim didn't suspect that JASON drank the beer. ,Hanako said: Then who did Tim suspect that drank the beer?,Who drank the beer according to Tim.,Who suspected that Jason drank the beer.
116,suggest,filler_bad_1,Scott said: Tony didn't suggest that LISA was in the office.,Hanako said: Then who did Tony suggest that was in the office?,Who was in the office according to Tony.,Who suggested that Lisa was in the office.
117,believe,filler_bad_1,Scott said: Larry didn't believe that NICK cooked dinner.,Hanako said: Then who did Larry believe that cooked dinner?,Who cooked dinner according to Larry.,Who believed that Nick cooked dinner.
118,expect,filler_bad_1,Scott said: Ben didn't expect that LAURA would order pizza.,Hanako said: Then who did Ben expect that would order pizza?,Who would order pizza according to Ben.,Who expected that Laura would order pizza.
119,imply,filler_bad_2,Scott said: Rui didn't imply that the brother of CAROL signed the contract.,Hanako said: Then who did Rui imply that the brother of signed the contract?,Whose brother signed the contract according to Rui.,What the brother of Carol signed according to Rui.
120,hope,filler_bad_2,Scott said: Frankie didn't hope that the agent of the GUITARIST would show up. ,Hanako said: Then who did Frankie hope that the agent of would show up?,Whose agent Frankie hoped would show up.,What the agent of the guitarist did according to Frankie.
121,insist,filler_bad_2,Scott said: Ted didn't insist that the uncle of EVA should stay for dinner. ,Hanako said: Then who did Ted insist that the uncle of should stay for dinner?,Whose uncle should stay for dinner according to Ted.,What the uncle of Eva should do according to Ted.
122,guess,filler_bad_2,Scott said: Jessie didn't guess that the assistant to the DIRECTOR would give the presentation.,Hanako said: Then who did Jessie guess that the assistant to would give the presentation?,Whose assistant would give the presentation according to Jessie.,What the assistant to the director would do according to Jessie.
123,reveal,filler_bad_2,Scott said: Donald didn't reveal that the parents of KRISHNA were moving to Texas. ,Hanako said: Then who did Donald reveal that the parents of were moving to Texas?,Whose parents were moving to Texas according to Donald.,Where Krishna's parents were moving to according to Donald.
124,expect,filler_bad_2,Scott said: Jamal didn't expect that the roommates of NINA would come to the party.,Hanako said: Then who did Jamal expect that the roommates of would come to the party?,Whose roommates would come to the party according to Jamal.,What  Nina's roommates would do according to Jamal. 
201,,practice_good,Scott said: Fiona didn't buy PINEAPPLES. ,Hanako said: Then what did Fiona buy?,What Fiona bought.,Who bought pineapples.
202,,practice_good,Scott said: Vera didn't DRIVE to Michigan. ,Hanako said: Then how did Vera get to Michigan?,How Vera travelled to Michigan.,Where Vera drove to.
203,,practice_bad,Scott said: Hank didn't buy the RED car.,Hanako said: Then what color did Hank buy car?,Which car Hank bought.,Who bought the red car.
204,,practice_bad,Scott said: Prisha doesn't speak KOREAN.,Hanako said: Then what Prisha does speak the language?,What language does Prisha speak.,Who speaks Korean.
